candidate_id,name.x,party,state,district,cycles,name.y,committee_id
H8CA23137,"DAVIS, JAMES",NOP,CA,23,"{2018,2020}",COMMITTEE TO ELECT JAMES DAVIS DEVIANT FOR CONGRESS 2018,C00671438
H8CA24150,"WOODY, MICHAEL",REP,CA,24,"{2018,2020}",MICHAEL ERIN WOODY FOR CONGRESS,C00638080
H8CA25066,"FARRELL-SMITH, KELAN JOHN MR.",DEM,CA,25,"{2018,2020}",KELAN JOHN FARRELL-SMITH FOR HOUSE OF REPRESENTATIVES CALIFORNIA'S 25TH DISTRICT,C00632638
H8CA25074,"HILL, KATHERINE LAUREN",DEM,CA,25,"{2018,2020}",KATIE HILL FOR CONGRESS,C00634212
H8CA25082,"PHOENIX, JESS",DEM,CA,25,"{2018,2020}",JESS PHOENIX FOR CONGRESS,C00637827
H8CA25108,"GREENAWAY, DIEDRA MICHELLE",DEM,CA,25,{2018},COMMITTEE TO ELECT DIEDRA GREENAWAY FOR CONGRESS 2018,C00656355
H8CA25116,"MCVARISH, SCOTT",DEM,CA,25,{2018},SCOTT MCVARISH FOR CONGRESS,C00659433
H8CA25124,"MASTERMAN-SMITH, MIKE",DEM,CA,25,"{2018,2020}","MASTERMAN-SMITH, MIKE",C00666289
H8CA26106,"SKELTON, SHANE JOHN",REP,CA,26,{2018},SHANE SKELTON FOR CONGRESS,C00636514
H8CA26114,"SABATO, ANTONIO",REP,CA,26,"{2018,2020}",ANTONIO SABATO JR FOR CONGRESS,C00639690
H8CA26122,"BURUM, JEFFREY DAVID MAJ (RET)",REP,CA,26,"{2018,2020}",JEFFREY BURUM FOR CONGRESS,C00653949
H8CA26130,"NELSON, JOHN",DEM,CA,26,"{2018,2020}",JOHN NELSON FOR CONGRESS,C00655282
H8CA27104,"ESPINOZA, BRIAN ANTHONY MR.",LIB,CA,27,{2018},BESTPINOZA FOR HOUSE,C00650325
H8CA27112,"WITT, BRYAN",DEM,CA,27,"{2018,2020}",BRYAN WITT FOR CONGRESS,C00654335
H8CA27120,"CARDENAS, BEATRICE I",REP,CA,27,{2018},CARDENAS FOR CONGRESS,C00668020
